"Year","Name","Position","Round","Pick","College","Conference","Games","Seasons","Height","Weight","40 Yard","Bench","Broad Jump","Shuttle","3 Cone","Vertical","Pass Att","Pass Completions","Pass Yds","Pass TD","Pass Int","Passer Rating","Rush Att","Rush Yds","Rush TD","Rec","Rec Yds","Rec TD","Solo Tackles","Ast Tackles","Total Tackles","Tackles for Loss","Sacks","Int","Int Return Yards","Int TD","Pass Deflection","Fumble Recovery","Fumble Return Yards","Fumble TD","Forced Fumbles","PRs","PR Yds","PR TD","KRs","KR Yds","KR TD","XPA","XP%","FGA","FG%","Punts","Punt Avg"
2008,"Husain Abdullah","FS",0,0,"Washington State","Pac-10",45,4,72,204,4.63,16,115,0,7.07,32.5,0,0,0,0,0,0,0,0,0,0,0,0,133,80,213,11,0,10,172,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,"Jamar Adams","SS",0,0,"Michigan","Big Ten",38,3,74,212,4.59,0,121,4.49,6.9,34,0,0,0,0,0,0,0,0,0,0,0,0,100,66,166,6.5,2,4,58,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,"Xavier Adibi","OLB",4,118,"Virginia Tech","ACC",47,4,74,232,4.69,0,110,4.47,0,30,0,0,0,0,0,0,0,0,0,0,0,0,112,154,266,25,9,8,170,2,0,0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,"Erik Ainge","QB",5,162,"Tennessee","SEC",43,4,77,225,4.98,0,108,4.6,7.51,21.5,1210,733,8700,72,35,134.8,82,-227,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,"Branden Albert","OG",1,15,"Virginia","ACC",0,0,78,309,5.17,23,111,4.78,7.97,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,"Anthony Alridge","RB",0,0,"Houston","CUSA",39,3,69,170,4.36,0,134,0,6.88,30.5,0,0,0,0,0,0,363,2595,22,74,997,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,846,0,0,0,0,0,0,0
2008,"Danny Amendola","WR",0,0,"Texas Tech","Big 12",50,4,70,183,4.58,13,103,4.25,6.81,27.5,0,0,0,0,0,0,7,20,0,204,2246,15,0,0,0,0,0,0,0,0,0,0,0,0,0,17,290,0,116,1283,1,0,0,0,0,0,0
2008,"Adrian Arrington","WR",7,237,"Michigan","Big Ten",35,4,75,203,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,1438,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0
2008,"Donnie Avery","WR",2,33,"Houston","CUSA",50,4,71,192,4.43,16,0,0,0,0,0,0,0,0,0,0,0,0,0,210,3289,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,0,40,896,1,0,0,0,0,0,0
2008,"Cliff Avril","OLB",3,92,"Purdue","Big Ten",37,3,75,253,4.51,27,117,4.51,6.9,32.5,0,0,0,0,0,0,0,0,0,0,0,0,104,53,157,32.5,12.5,2,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,"Sam Baker","OT",1,21,"Southern California","0",0,0,77,309,5.5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,"Kentwan Balmer","DT",1,29,"North Carolina","ACC",33,3,76,308,5.29,33,103,4.82,7.65,29,0,0,0,0,0,0,0,0,0,0,0,0,53,39,92,17,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,"Dominique Barber","FS",6,173,"Minnesota","Big Ten",37,3,72,210,4.68,23,117,4.34,7.08,34,0,0,0,0,0,0,0,0,0,0,0,0,128,59,187,6.5,1,4,57,1,8,2,53,1,1,1,0,0,1,12,0,0,0,0,0,0,0
2008,"Gary Barnidge","TE",5,141,"Louisville","Big East",47,4,78,243,4.61,22,117,4.23,6.92,31,0,0,0,0,0,0,0,0,0,108,1491,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,0,0,0,0,0,0
2008,"Josh Barrett","SS",7,220,"Arizona State","Pac-10",46,4,74,223,4.34,17,121,4.27,7.07,31.5,0,0,0,0,0,0,0,0,0,0,0,0,109,48,157,14.5,3,6,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,"Beau Bell","ILB",4,104,"UNLV","MWC",41,4,73,244,4.9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,124,294,26,10.5,4,13,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,"Martellus Bennett","TE",2,61,"Texas A&M","Big 12",34,3,78,259,4.68,18,118,4.53,7.64,34,0,0,0,0,0,0,0,0,0,105,1246,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
2008,"Earl Bennett","WR",3,70,"Vanderbilt","SEC",35,3,71,209,4.48,15,110,4.22,7.15,26,0,0,0,0,0,0,20,44,0,236,2852,20,0,0,0,0,0,0,0,0,0,0,0,0,0,19,405,0,25,181,0,0,0,0,0,0,0
2008,"Yvenson Bernard","RB",0,0,"Oregon State","Pac-10",45,4,68,204,4.81,0,112,4.73,7.22,29.5,0,0,0,0,0,0,876,3862,38,118,790,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,91,0,13,79,0,0,0,0,0,0,0
2008,"Davone Bess","WR",0,0,"Hawaii","WAC",39,3,70,194,4.64,12,118,4.27,6.97,31.5,0,0,0,0,0,0,1,6,0,293,3610,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,261,0,0,0,0,0,0,0
2008,"Adam Bishop","TE",0,0,"Nevada","WAC",43,4,77,248,4.98,21,113,4.28,7.14,27,0,0,0,0,0,0,0,0,0,34,417,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,"Tommy Blake","DE",0,0,"TCU","MWC",33,3,75,281,4.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,45,132,38,18,0,0,0,3,1,12,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2008,"Todd Blythe","WR",0,0,"Iowa State","Big 12",45,4,77,214,4.65,0,118,4.23,6.92,31.5,0,0,0,0,0,0,1,6,0,176,3096,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,0,0,0,0,0,0,0
2008,"Brian Bonner","SS",0,0,"TCU","MWC",49,4,71,196,4.61,17,113,4.43,7.21,31,0,0,0,0,0,0,0,0,0,0,0,0,110,60,170,17,8,7,109,0,0,0,0,0,0,4,25,0,65,840,0,0,0,0,0,0,0
2008,"Barry Booker","DT",0,0,"Virginia Tech","ACC",39,3,76,285,5.06,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,69,111,20,5.5,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2008,"John David Booty","QB",0,0,"Southern California","Pac-10",38,4,74,218,4.82,0,99,4.58,0,22.5,832,518,6125,55,21,140.9,61,-180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,"Alvin Bowen","OLB",5,147,"Iowa State","Big 12",24,2,73,223,4.79,15,119,4.3,7.21,34,0,0,0,0,0,0,0,0,0,0,0,0,162,92,254,17.5,3,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,"Zack Bowman","CB",5,142,"Nebraska","Big 12",22,2,72,197,4.39,18,122,4.21,7.1,30.5,0,0,0,0,0,0,0,0,0,0,0,0,46,10,56,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
