Year,Name,Position,Age,College,Conference,Games,Seasons,Height,Weight,40 Yard,Bench,Broad Jump,Shuttle,3 Cone,Vertical,Pass Att,Pass Completions,Pass Yds,Pass TD,Pass Int,Passer Rating,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,Solo Tackles,Ast Tackles,Total Tackles,Tackles for Loss,Sacks,Int,Int Return Yards,Int TD,Pass Deflection,Fumble Recovery,Fumble Return Yards,Fumble TD,Forced Fumbles,PRs,PR Yds,PR TD,KRs,KR Yds,KR TD,XPA,XP%,FGA,FG%,Punts,Punt Avg
2008,Dante Pettis ,WR,22,Washington,Pac-12,52,4,72,186,4.42,11,121,4.41,6.8,34,0,0,0,0,0,0,4,42,0,163,2256,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1274,9,0,0,0,0,0,0
2008,Kemoko Turay ,EDGE,22,Rutgers,Big Ten,34,4,77,253,4.65,22,132,4.3,6.95,36,0,0,0,0,0,0,0,0,0,0,0,0,58,38,96,19,14.5,1,0,0,4,2,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Josh Adams,RB,21,Notre Dame,Ind,37,3,74,213,4.48,18,121,4.2,6.75,37.5,0,0,0,0,0,0,480,3201,20,41,336,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Jordan Akins,TE,22,Central Florida,American,34,4,75,249,5.31,29,114,4.32,7.52,31,0,0,0,0,0,0,0,0,0,81,1149,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,0,21,512,0,0,0,0,0,0,0
2008,Jaire Alexander,CB,21,Louisville,ACC,29,3,71,192,4.38,14,127,3.98,6.71,35,0,0,0,0,0,0,0,0,0,0,0,0,58,19,77,2,0,7,42,0,15,1,0,0,1,1,14,0,43,424,1,0,0,0,0,0,0
2008,Austin Allen,QB,22,Arkansas,SEC,27,4,72,210,4.81,29,112,4.48,7.18,29.5,607,359,5045,36,21,141.6,109,-142,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Brian Allen,C,22,Michigan St.,Big Ten,41,4,73,298,5.34,27,99,4.71,7.81,26.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Josh Allen,QB,21,Wyoming,MWC,27,3,77,237,4.75,28,119,4.4,6.9,33.5,649,365,5066,44,21,137.7,237,767,12,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Marcus Allen,S,22,Penn St.,Big Ten,49,4,74,202,4.59,15,127,4.32,6.71,37,0,0,0,0,0,0,0,0,0,0,0,0,181,139,320,17,3,1,50,0,10,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2008,Mark Andrews,TE,21,Oklahoma,Big 12,35,3,77,256,4.67,17,113,4.38,7.34,31,0,0,0,0,0,0,0,0,0,112,1765,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
